0000037c,00000001,000ffffd,18
0000079c,00000002,000ffffe,211329
00000750,00000001,000ffffe,211660
000007c4,00000001,000ffffe,212098
000006d0,00000001,000ffffe,212557
0000072c,00000007,00080483,212793
00000718,00000001,000ffffe,213142
000006c4,00000002,000ffffe,213321
00000700,00000001,000ffffe,213649
000006cc,0000000a,00080483,213823
000006bc,00000001,000ffffe,213897
00000708,00000002,000ffffe,213940
00000738,00000001,000ffffe,214200
00000710,00000011,00080407,214347
00000700,00000001,000ffffe,214397
00000764,00000001,000ffffe,214702
00000764,00000001,000ffffe,214855
000007c0,00000007,00080441,214938
00000750,00000001,000ffffe,214971
00000764,00000001,000ffffe,214991
000007c4,00000001,000ffffe,215273
00000758,00000002,000ffffe,215687
0000077c,00000001,000ffffe,215893
00000790,00000011,000801c9,216013
000007a4,00000011,00080483,216305
00000720,00000002,000ffffe,216676
000006bc,00000001,000ffffe,217140
0000072c,00000007,00080483,217379
00000718,00000001,000ffffe,217490
000006c4,00000002,000ffffe,217550
00000738,00000001,000ffffe,217579
0000072c,00000007,00080483,217872
000006d0,00000001,000ffffe,218010
00000700,00000001,000ffffe,218354
00000790,00000011,000801cb,218814
000007a4,00000011,00080483,219276
00000760,0000000a,00080443,219772
000007d4,00000001,000ffffe,220015
0000079c,00000002,000ffffe,220382
000006b0,00000006,00080483,220809
000006e8,00000001,000ffffe,221016
00000708,00000002,000ffffe,221395
0000072c,00000007,00080483,221829
000006fc,00000011,000801d7,222054
0000072c,00000007,00080483,222152
000006bc,00000001,000ffffe,222440
00000730,00000001,000ffffe,222827
00000750,00000001,000ffffe,223021
000007c0,00000007,00080441,223396
000007ac,00000001,000ffffe,223575
00000758,00000002,000ffffe,223669
000007cc,00000001,000ffffe,223715
0000077c,00000001,000ffffe,223739
000007d4,00000001,000ffffe,224023
00000784,00000002,000ffffe,224438
0000079c,00000002,000ffffe,224917
000006bc,00000001,000ffffe,225156
000006d0,00000001,000ffffe,225516
0000073c,00000001,000ffffe,225936
000006fc,00000011,000801df,226402
00000718,00000001,000ffffe,226883
000006e8,00000001,000ffffe,227132
00000794,00000001,000ffffe,227257
00000760,0000000a,00080440,227329
00000750,00000001,000ffffe,227352
000007d4,00000001,000ffffe,227640
00000794,00000001,000ffffe,228056
000007b4,00000002,000ffffe,228537
000007c4,00000001,000ffffe,229048
000006fc,00000011,000801e3,229560
000006c4,00000002,000ffffe,230033
00000710,00000011,00080404,230532
0000073c,00000001,000ffffe,230998
00000750,00000001,000ffffe,231479
00000764,00000001,000ffffe,231720
00000784,00000002,000ffffe,231842
000007d0,00000001,000ffffe,231902
000007c0,00000007,00080442,231939
000007b4,00000002,000ffffe,231950
00000760,0000000a,00080443,232238
00000790,00000011,000801e7,232657
0000079c,00000002,000ffffe,233120
00000740,00000001,000ffffe,233630
000006bc,00000001,000ffffe,233886
00000720,00000002,000ffffe,234255
00000718,00000001,000ffffe,234678
000006d0,00000001,000ffffe,235130
00000784,00000002,000ffffe,235629
00000758,00000002,000ffffe,236118
0000079c,00000002,000ffffe,236363
000007c0,00000007,00080443,236491
00000790,00000011,000801ed,236563
00000784,00000002,000ffffe,236819
00000784,00000002,000ffffe,236955
00000784,00000002,000ffffe,237295
0000072c,00000007,00080483,237742
00000738,00000001,000ffffe,238197
00000700,00000001,000ffffe,238428
000006e8,00000001,000ffffe,238544
00000730,00000001,000ffffe,238842
00000720,00000002,000ffffe,239232
000006cc,0000000a,00080483,239435
0000073c,00000001,000ffffe,239524
0000073c,00000001,000ffffe,239813
0000077c,00000001,000ffffe,239958
000007a4,00000011,00080483,240047
000007c0,00000007,00080440,240074
000007cc,00000001,000ffffe,240087
00000794,00000001,000ffffe,240097
000007d0,00000001,000ffffe,240513
00000750,00000001,000ffffe,240583
00000758,00000002,000ffffe,240891
00000760,0000000a,00080444,241053
000007b4,00000002,000ffffe,241394
000007d4,00000001,000ffffe,241568
00000760,0000000a,00080446,241665
000006cc,0000000a,00080483,241981
00000710,00000011,00080401,242386
000006e8,00000001,000ffffe,242841
000006cc,0000000a,00080483,243086
000006d0,00000001,000ffffe,243435
00000738,00000001,000ffffe,243854
00000750,00000001,000ffffe,244064
000007c0,00000f7c,00080441,244337
00000764,00000001,000ffffe,244441
00000784,00000002,000ffffe,244631
000007d0,00000001,000ffffe,244725
000007c0,00000007,00080442,244779
0000077c,00000001,000ffffe,245037
00000750,00000001,000ffffe,245441
000007d0,00000001,000ffffe,245915
000006e8,00000001,000ffffe,246424
000006e8,00000001,000ffffe,246679
00000730,00000001,000ffffe,246807
00000720,00000002,000ffffe,247112
0000072c,00000007,00080483,247509
000006e8,00000001,000ffffe,247971
000007cc,00000001,000ffffe,248477
000007cc,00000001,000ffffe,248970
00000790,00000011,00080204,249233
000007b4,00000002,000ffffe,249342
00000794,00000001,000ffffe,249643
00000794,00000001,000ffffe,250034
000007d4,00000001,000ffffe,250230
000006cc,0000000a,00080483,250609
000006cc,0000000a,00080483,251034
00000720,00000002,000ffffe,251239
00000740,00000001,000ffffe,251345
000006cc,0000000a,00080483,251408
00000738,00000001,000ffffe,251666
0000072c,00000007,00080483,251806
00000720,00000002,000ffffe,252140
00000720,00000002,000ffffe,252310
000007ac,00000001,000ffffe,252634
00000764,00000001,000ffffe,252797
00000750,00000001,000ffffe,252879
00000794,00000001,000ffffe,253192
000007b4,00000002,000ffffe,253350
00000784,00000002,000ffffe,253429
000007b4,00000002,000ffffe,253469
000007d4,00000001,000ffffe,253728
000007ac,00000001,000ffffe,254130
00000794,00000001,000ffffe,254603
00000730,00000001,000ffffe,254840
00000730,00000001,000ffffe,254959
000006f0,00000002,000ffffe,255020
000006d0,00000001,000ffffe,255289
000006cc,0000000a,00080483,255705
000006cc,0000000a,00080483,255909
000006cc,0000000a,00080483,256283
000006e8,00000001,000ffffe,256701
000007b4,00000002,000ffffe,256916
000007d4,00000001,000ffffe,257294
00000760,0000000a,00080442,257493
000007cc,00000001,000ffffe,257819
000007c0,00000007,00080444,257993
000007c4,00000001,000ffffe,258311
00000784,00000002,000ffffe,258746
00000718,00000001,000ffffe,259202
000006c4,00000002,000ffffe,259432
00000738,00000001,000ffffe,259546
000006e8,00000001,000ffffe,259604
000006c4,00000002,000ffffe,259874
000006bc,00000001,000ffffe,260008
000006bc,00000001,000ffffe,260076
000006bc,00000001,000ffffe,260382
000006cc,0000000a,00080483,260784
0000072c,00000011,00080483,260988
00000790,00000011,00080219,261087
00000784,00000002,000ffffe,261122
000007d0,00000001,000ffffe,261386
000007b4,00000002,000ffffe,261587
000007b4,00000002,000ffffe,261621
000007c4,00000001,000ffffe,261877
00000790,00000011,0008021c,262022
00000764,00000001,000ffffe,262071
00000760,0000000a,00080444,262113
00000760,0000000a,00080444,262130
000007b4,00000002,000ffffe,262131
000007d4,00000001,000ffffe,262135
0000077c,00000001,000ffffe,262140
00000760,0000000a,00080444,262147
00000784,00000002,000ffffe,262414
00000790,00000011,0008021e,262566
00000794,00000001,000ffffe,262619
0000079c,00000002,000ffffe,262655
000007a4,00000011,00080483,262688
00000758,00000002,000ffffe,262954
000006b0,00000006,00080483,263099
00000740,00000001,000ffffe,263165
000006c4,00000002,000ffffe,263202
000006e8,00000001,000ffffe,263459
00000738,00000001,000ffffe,263860
00000720,00000002,000ffffe,264062
00000718,00000001,000ffffe,264162
00000718,00000001,000ffffe,264213
000006cc,0000000a,00080483,264248
0000073c,00000001,000ffffe,264524
000006f0,00000002,000ffffe,264668
00000710,00000011,00080406,264755
00000720,00000002,000ffffe,265048
000007b4,00000002,000ffffe,265442
000007c0,00000f7c,00080441,265482
0000077c,00000001,000ffffe,265910
00000758,00000002,000ffffe,266146
00000750,00000001,000ffffe,266263
000007ac,00000001,000ffffe,266562
00000794,00000001,000ffffe,266712
000007cc,00000001,000ffffe,267059
00000758,00000002,000ffffe,267234
0000072c,00000007,00080483,267566
000006fc,00000011,00080229,267740
000006f0,00000002,000ffffe,268047
00000730,00000001,000ffffe,268479
00000710,00000011,00080405,268712
00000740,00000001,000ffffe,268805
000006d0,00000001,000ffffe,268860
00000738,00000001,000ffffe,268888
00000720,00000002,000ffffe,269175
000007d0,00000001,000ffffe,269589
00000760,0000000a,00080441,269806
0000077c,00000001,000ffffe,270173
00000794,00000001,000ffffe,270601
00000760,0000000a,00080445,271064
0000073c,00000001,000ffffe,271554
00000718,00000001,000ffffe,271804
000006c4,00000002,000ffffe,272170
00000738,00000001,000ffffe,272352
000006e8,00000001,000ffffe,272444
00000740,00000001,000ffffe,272762
00000700,00000001,000ffffe,273161
000006d0,00000001,000ffffe,273361
000007d0,00000001,000ffffe,273733
000007d4,00000001,000ffffe,274159
000007ac,00000001,000ffffe,274612
000007d4,00000001,000ffffe,274839
000007b4,00000002,000ffffe,274954
00000760,0000000a,00080445,275259
000007d0,00000001,000ffffe,275399
00000784,00000002,000ffffe,275475
000007a4,00000011,00080484,275528
000007c4,00000001,000ffffe,275771
00000738,00000001,000ffffe,275901
00000720,00000002,000ffffe,276239
00000718,00000001,000ffffe,276407
00000718,00000001,000ffffe,276492
000006cc,0000000a,00080484,276544
00000700,00000001,000ffffe,276557
000006c4,00000002,000ffffe,276841
00000700,00000001,000ffffe,276982
00000718,00000001,000ffffe,277325
0000072c,00000007,00080484,277503
0000073c,00000001,000ffffe,277823
00000784,00000002,000ffffe,278259
00000760,0000000a,00080442,278485
000007a4,00000011,00080484,278873
000007c4,00000001,000ffffe,279048
00000794,00000001,000ffffe,279144
0000077c,00000001,000ffffe,279464
000007c4,00000001,000ffffe,279864
00000740,00000001,000ffffe,280336
00000738,00000001,000ffffe,280844
0000073c,00000001,000ffffe,281338
00000710,00000011,00080406,281841
0000073c,00000001,000ffffe,282069
00000750,00000001,000ffffe,282431
000007c4,00000001,000ffffe,282852
00000764,00000001,000ffffe,283063
00000794,00000001,000ffffe,283169
000007b4,00000002,000ffffe,283463
00000784,00000002,000ffffe,283610
000007b4,00000002,000ffffe,283684
000007cc,00000001,000ffffe,283992
000007d4,00000001,000ffffe,284147
000007a4,0000000e,00080484,284238
000006e8,00000001,000ffffe,284536
00000700,00000001,000ffffe,284692
000006bc,00000001,000ffffe,285042
000006f0,00000002,000ffffe,285490
00000708,00000002,000ffffe,285714
000006c4,00000002,000ffffe,286098
00000784,00000002,000ffffe,286530
00000760,0000000a,00080442,286994
000007a4,00000011,00080484,287501
00000790,00000011,0008024d,287991
000007d0,00000001,000ffffe,288460
00000718,00000001,000ffffe,288703
00000730,00000001,000ffffe,288825
00000708,00000002,000ffffe,289127
00000738,00000001,000ffffe,289353
000006c4,00000002,000ffffe,289664
000006f0,00000002,000ffffe,290059
00000740,00000001,000ffffe,290256
000007ac,00000001,000ffffe,290627
000007a4,00000011,00080484,290829
000006fc,00000740,00080251,291132
00000760,0000000a,00080442,291155
000007d4,00000001,000ffffe,291313
000007d0,00000001,000ffffe,291397
00000790,00000011,00080253,291727
000007c0,00000007,00080445,292114
00000794,00000001,000ffffe,292307
00000784,00000002,000ffffe,292408
000006b0,00000006,00080484,292702
00000700,00000001,000ffffe,293082
00000730,00000001,000ffffe,293275
00000708,00000002,000ffffe,293373
000006fc,00000011,00080259,293437
00000738,00000001,000ffffe,293446
00000718,00000001,000ffffe,293459
000006bc,00000001,000ffffe,293466
000006e8,00000001,000ffffe,293470
000006fc,00000011,0008025a,293760
00000700,00000001,000ffffe,294153
00000708,00000002,000ffffe,294359
00000710,00000011,00080406,294477
00000718,00000001,000ffffe,294513
000006e8,00000001,000ffffe,294779
000007d0,00000001,000ffffe,295184
000007cc,00000001,000ffffe,295387
000007cc,00000001,000ffffe,295489
000007d4,00000001,000ffffe,295780
000007a4,00000011,00080484,295942
000007cc,00000001,000ffffe,296271
00000750,00000001,000ffffe,296444
00000760,0000000a,00080446,296540
000007c0,00000007,00080446,296581
00000760,0000000a,00080447,296846
000006e8,00000001,000ffffe,297240
000006cc,0000000a,00080484,297451
000006c4,00000002,000ffffe,297816
000006c4,00000002,000ffffe,298003
00000718,00000001,000ffffe,298096
00000730,00000001,000ffffe,298575
00000708,00000002,000ffffe,298928
000007b4,00000002,000ffffe,299376
000007d4,00000001,000ffffe,299839
000006fc,00000740,00080263,300270
000007ac,00000001,000ffffe,300343
000007a4,00000011,00080484,300851
00000710,00000011,00080400,301337
00000740,00000001,000ffffe,301804
000006d0,00000001,000ffffe,302046
00000700,00000001,000ffffe,302407
000006c4,00000002,000ffffe,302589
00000700,00000001,000ffffe,302679
000006cc,0000000a,00080484,302734
00000718,00000001,000ffffe,302988
000006fc,00000011,0008026d,303136
00000758,00000002,000ffffe,303459
00000750,00000001,000ffffe,303899
00000750,00000001,000ffffe,304120
000007a4,00000011,00080484,304247
000007cc,00000001,000ffffe,304287
000007ac,00000001,000ffffe,304555
0000079c,00000002,000ffffe,304962
00000738,00000001,000ffffe,305436
00000738,00000001,000ffffe,305674
00000740,00000001,000ffffe,306033
00000710,00000011,00080403,306229
00000740,00000001,000ffffe,306543
00000720,00000002,000ffffe,306981
00000710,00000011,00080406,307215
000006bc,00000001,000ffffe,307309
00000764,00000001,000ffffe,307604
000007d0,00000001,000ffffe,307752
0000077c,00000001,000ffffe,308098
00000794,00000001,000ffffe,308543
000007a4,00000011,00080484,308782
00000760,0000000a,00080445,308887
000007a4,00000011,00080484,309190
00000790,00000011,00080275,309578
000006d0,00000001,000ffffe,310028
0000073c,00000001,000ffffe,310533
00000730,00000001,000ffffe,310786
000006e8,00000001,000ffffe,310913
000006bc,00000001,000ffffe,310977
000006bc,00000001,000ffffe,311249
000006bc,00000001,000ffffe,311657
000007cc,00000001,000ffffe,312133
000007cc,00000001,000ffffe,312643
000007d4,00000001,000ffffe,313138
000007a4,00000011,00080484,313402
000007d4,00000001,000ffffe,313750
000006d0,00000001,000ffffe,314172
0000072c,00000007,00080484,314629
000006bc,00000001,000ffffe,314849
00000730,00000001,000ffffe,315202
000006d0,00000001,000ffffe,315379
00000700,00000001,000ffffe,315468
000006c4,00000002,000ffffe,315514
00000700,00000001,000ffffe,315536
000006cc,0000000a,00080484,315557
00000708,00000002,000ffffe,315827
0000079c,00000002,000ffffe,316238
000007ac,00000001,000ffffe,316443
000007b4,00000002,000ffffe,316819
000007c0,00000007,00080443,317012
00000790,00000011,00080282,317356
00000764,00000001,000ffffe,317779
00000760,0000000a,00080447,318008
000006bc,00000001,000ffffe,318381
000006c4,00000002,000ffffe,319029
00000700,00000001,000ffffe,319408
0000072c,00000007,00080484,319844
00000784,00000002,000ffffe,320294
000007c0,00000007,00080441,320527
000006fc,00000740,00080287,320667
000007a4,00000011,00080484,320891
00000758,00000002,000ffffe,321293
00000790,00000011,0008028a,321517
000007a4,00000011,00080484,321622
000007b4,00000002,000ffffe,321660
0000077c,00000001,000ffffe,321686
00000758,00000002,000ffffe,321701
0000079c,00000002,000ffffe,321980
000007c0,00000007,00080447,322125
000006e8,00000001,000ffffe,322461
000006f0,00000002,000ffffe,322905
000006fc,00000011,00080290,323142
0000073c,00000001,000ffffe,323509
000006d0,00000001,000ffffe,323701
00000740,00000001,000ffffe,324037
000007b4,00000002,000ffffe,324478
000007c0,00000007,00080441,324943
0000077c,00000001,000ffffe,325439
00000760,0000000a,00080445,325939
000007ac,00000001,000ffffe,326176
000006fc,00000011,00080294,326555
000006c4,00000002,000ffffe,326722
00000710,00000011,00080401,327068
000006f0,00000002,000ffffe,327219
000006f0,00000002,000ffffe,327542
00000738,00000001,000ffffe,327703
0000072c,00000007,00080484,328030
000006d0,00000001,000ffffe,328185
00000740,00000001,000ffffe,328266
000006fc,00000011,0008029b,328323
00000718,00000001,000ffffe,328328
000006e8,00000001,000ffffe,328339
00000718,00000001,000ffffe,328345
00000730,00000001,000ffffe,328620
000007c0,00000007,00080440,328764
000007c4,00000001,000ffffe,329099
000007cc,00000001,000ffffe,329270
000007d0,00000001,000ffffe,329356
00000794,00000001,000ffffe,329671
000007c0,00000007,00080444,329835
00000790,00000011,0008029a,330196
000007c0,00000007,00080446,330362
00000750,00000001,000ffffe,330684
000006c4,00000002,000ffffe,331121
000006bc,00000001,000ffffe,331578
00000708,00000002,000ffffe,332080
000006e8,00000001,000ffffe,332330
00000720,00000002,000ffffe,332457
00000708,00000002,000ffffe,332760
0000077c,00000001,000ffffe,332911
000007c0,00000007,00080441,333265
000007d4,00000001,000ffffe,333705
00000764,00000001,000ffffe,334168
000007cc,00000001,000ffffe,334400
000007c4,00000001,000ffffe,334756
00000730,00000001,000ffffe,335174
000006d0,00000001,000ffffe,335623
00000700,00000001,000ffffe,335848
000006c4,00000002,000ffffe,335962
00000700,00000001,000ffffe,336018
000006cc,0000000a,00080484,336056
000006bc,00000001,000ffffe,336062
00000708,00000002,000ffffe,336071
0000072c,00000007,00080484,336352
00000738,00000001,000ffffe,336756
000007c0,00000007,00080440,337239
000007c4,00000001,000ffffe,337472
000007cc,00000001,000ffffe,337592
0000079c,00000002,000ffffe,337893
00000794,00000001,000ffffe,338282
000007d0,00000001,000ffffe,338749
000007b4,00000002,000ffffe,338984
000006c4,00000002,000ffffe,339341
00000718,00000001,000ffffe,339519
0000073c,00000001,000ffffe,339609
00000710,00000011,00080402,339942
0000073c,00000001,000ffffe,340085
00000718,00000001,000ffffe,340165
00000740,00000001,000ffffe,340477
000006e8,00000001,000ffffe,340873
000007c0,00000007,00080440,341349
000007a4,00000011,00080485,341866
0000079c,00000002,000ffffe,342105
00000758,00000002,000ffffe,342472
000007d0,00000001,000ffffe,342655
00000794,00000001,000ffffe,342987
00000764,00000001,000ffffe,343425
00000718,00000001,000ffffe,343884
000006cc,0000000a,00080485,344123
000006bc,00000001,000ffffe,344469
00000708,00000002,000ffffe,344648
00000738,00000001,000ffffe,344976
00000710,00000011,00080406,345157
00000700,00000001,000ffffe,345224
0000073c,00000001,000ffffe,345266
000006e8,00000001,000ffffe,345527
000007c4,00000001,000ffffe,345658
000007b4,00000002,000ffffe,345725
000007ac,00000001,000ffffe,346029
000007ac,00000001,000ffffe,346182
00000760,0000000a,00080442,346268
00000794,00000001,000ffffe,346298
000007ac,00000001,000ffffe,346318
00000764,00000001,000ffffe,346600
0000079c,00000002,000ffffe,347014
000007b4,00000002,000ffffe,347221
000007c4,00000001,000ffffe,347324
000007d4,00000001,000ffffe,347616
000006c4,00000002,000ffffe,348003
00000700,00000001,000ffffe,348467
000006cc,0000000a,00080485,348709
000006bc,00000001,000ffffe,348817
00000708,00000002,000ffffe,348877
000006e8,00000001,000ffffe,348906
000006cc,0000000a,00080485,349202
00000718,00000001,000ffffe,349337
00000738,00000001,000ffffe,349681
000007c4,00000001,000ffffe,350125
000007d4,00000001,000ffffe,350587
000007a4,00000011,00080485,351106
00000790,00000011,000802c1,351358
000007d0,00000001,000ffffe,351708
000006d0,00000001,000ffffe,352131
00000720,00000002,000ffffe,352344
0000073c,00000001,000ffffe,352721
000006cc,0000000a,00080485,353159
00000730,00000001,000ffffe,353365
000006cc,0000000a,00080485,353482
00000700,00000001,000ffffe,353767
00000750,00000001,000ffffe,354154
00000794,00000001,000ffffe,354348
00000760,0000000a,00080442,354726
00000750,00000001,000ffffe,354902
0000079c,00000002,000ffffe,354996
0000077c,00000001,000ffffe,355042
000007b4,00000002,000ffffe,355067
00000790,00000011,000802c8,355366
000007c0,00000007,00080446,355770
000006f0,00000002,000ffffe,356244
00000700,00000001,000ffffe,356483
00000718,00000001,000ffffe,356843
000006f0,00000002,000ffffe,357264
00000730,00000001,000ffffe,357713
000006bc,00000001,000ffffe,358210
0000079c,00000002,000ffffe,358460
000007cc,00000001,000ffffe,358584
000007a4,00000011,00080485,358663
00000794,00000001,000ffffe,358679
00000790,00000011,000802cd,358983
000007cc,00000001,000ffffe,359383
00000758,00000002,000ffffe,359864
00000718,00000001,000ffffe,360375
00000730,00000001,000ffffe,360871
00000708,00000002,000ffffe,361360
00000740,00000001,000ffffe,361843
000006f0,00000002,000ffffe,362326
00000794,00000001,000ffffe,362806
000007ac,00000001,000ffffe,363047
000007c0,00000007,00080442,363174
00000784,00000002,000ffffe,363230
00000760,0000000a,00080442,363269
00000758,00000002,000ffffe,363277
000007a4,00000011,00080485,363572
000007c4,00000001,000ffffe,363968
000007d0,00000001,000ffffe,364446
000006fc,00000011,000802db,364973
00000700,00000001,000ffffe,365213
000006c4,00000002,000ffffe,365582
000006bc,00000001,000ffffe,366005
00000718,00000001,000ffffe,366457
000007c0,00000007,00080440,366961
0000079c,00000002,000ffffe,367445
000007d0,00000001,000ffffe,367689
00000760,0000000a,00080444,367821
000007c4,00000001,000ffffe,367874
000007c0,00000007,00080445,368151
000007c0,00000007,00080445,368287
000007c0,00000007,00080447,368627
000006cc,0000000a,00080485,369072
000006e8,00000001,000ffffe,369524
00000738,00000001,000ffffe,369755
00000720,00000002,000ffffe,369872
000006d0,00000001,000ffffe,370169
000006c4,00000002,000ffffe,370559
00000710,00000011,00080407,370769
000006f0,00000002,000ffffe,370852
00000760,0000000a,00080440,371149
000007b4,00000002,000ffffe,371286
000007d4,00000001,000ffffe,371358
00000760,0000000a,00080441,371404
0000077c,00000001,000ffffe,371414
000007cc,00000001,000ffffe,371424
00000760,0000000a,00080442,371710
00000784,00000002,000ffffe,371841
00000794,00000001,000ffffe,371910
0000079c,00000002,000ffffe,372218
000007a4,00000011,00080485,372387
00000758,00000002,000ffffe,372721
00000790,00000011,000802e9,372911
000007a4,00000011,00080485,372999
00000710,00000011,00080400,373315
00000740,00000001,000ffffe,373697
00000720,00000002,000ffffe,374169
00000718,00000001,000ffffe,374762
00000758,00000002,000ffffe,375182
00000794,00000001,000ffffe,375391
000007ac,00000001,000ffffe,375768
000007c0,00000007,00080442,375963
00000784,00000002,000ffffe,376053
00000760,0000000a,00080443,376109
000007b4,00000002,000ffffe,376365
00000794,00000001,000ffffe,376768
00000784,00000002,000ffffe,377243
00000720,00000002,000ffffe,377752
00000720,00000002,000ffffe,378007
000006d0,00000001,000ffffe,378134
00000710,00000f86,00080404,378377
000006c4,00000002,000ffffe,378439
000006cc,0000000a,00080485,378839
00000720,00000002,000ffffe,379299
0000077c,00000001,000ffffe,379804
0000077c,00000001,000ffffe,380297
000007c4,00000001,000ffffe,380544
00000758,00000002,000ffffe,380669
000007cc,00000001,000ffffe,380970
000007cc,00000001,000ffffe,381361
00000730,00000001,000ffffe,381557
00000710,00000011,00080401,381943
00000710,00000011,00080403,382368
000006c4,00000002,000ffffe,382566
000006fc,00000011,000802fd,382688
00000710,00000011,00080404,382742
000006e8,00000001,000ffffe,382993
000006cc,0000000a,00080485,383136
000006c4,00000002,000ffffe,383467
000007d0,00000001,000ffffe,383636
00000750,00000001,000ffffe,383961
000007ac,00000001,000ffffe,384124
00000794,00000001,000ffffe,384206
000007cc,00000001,000ffffe,384519
00000758,00000002,000ffffe,384677
000007c0,00000007,00080444,384761
00000758,00000002,000ffffe,384796
00000790,00000011,000802fe,385071
00000750,00000001,000ffffe,385457
000006e8,00000001,000ffffe,385930
000006d0,00000001,000ffffe,386167
000006d0,00000001,000ffffe,386286
0000072c,00000007,00080485,386352
00000718,00000001,000ffffe,386616
00000710,00000011,00080404,387039
00000710,00000011,00080405,387243
00000710,00000011,00080406,387617
0000079c,00000002,000ffffe,388029
00000758,00000002,000ffffe,388243
00000790,00000011,00080304,388637
000007a4,00000011,00080485,388827
0000077c,00000001,000ffffe,389146
00000760,0000000a,00080445,389323
00000764,00000001,000ffffe,389638
000006cc,0000000a,00080485,390081
000006bc,00000001,000ffffe,390529
00000708,00000002,000ffffe,390759
000006e8,00000001,000ffffe,390873
00000720,00000002,000ffffe,390932
00000708,00000002,000ffffe,391201
00000700,00000001,000ffffe,391335
00000700,00000001,000ffffe,391403
00000700,00000001,000ffffe,391709
00000790,00000011,00080309,392118
000007d4,00000001,000ffffe,392299
000007c4,00000001,000ffffe,392398
000007c0,00000007,00080441,392454
00000784,00000002,000ffffe,392714
00000760,0000000a,00080442,392855
00000758,00000002,000ffffe,392914
00000758,00000002,000ffffe,392948
00000764,00000001,000ffffe,393204
000007c4,00000001,000ffffe,393333
000007ac,00000001,000ffffe,393398
000007a4,00000011,00080485,393447
00000758,00000002,000ffffe,393458
000007a4,00000011,00080485,393464
000007b4,00000002,000ffffe,393468
00000790,00000011,0008030e,393478
000007a4,00000011,00080485,393481
000007c0,00000007,00080446,393746
000007c4,00000001,000ffffe,393877
000007cc,00000001,000ffffe,393946
000007d0,00000001,000ffffe,393981
000007d4,00000001,000ffffe,393999
0000073c,00000001,000ffffe,394280
000006d0,00000001,000ffffe,394421
000006fc,00000011,00080311,394508
00000708,00000002,000ffffe,394529
00000720,00000002,000ffffe,394787
000006e8,00000001,000ffffe,395187
000006c4,00000002,000ffffe,395389
000006bc,00000001,000ffffe,395489
000006bc,00000001,000ffffe,395540
00000710,00000011,00080405,395582
000006f0,00000002,000ffffe,395852
0000072c,00000007,00080485,396000
00000740,00000001,000ffffe,396066
000007d0,00000001,000ffffe,396374
00000758,00000002,000ffffe,396769
000007b4,00000002,000ffffe,397238
0000079c,00000002,000ffffe,397473
00000794,00000001,000ffffe,397590
00000750,00000001,000ffffe,397889
000007cc,00000001,000ffffe,398039
0000077c,00000001,000ffffe,398386
0000073c,00000001,000ffffe,398560
000006cc,0000000a,00080485,398896
00000730,00000001,000ffffe,399051
0000072c,00000007,00080485,399379
000006d0,00000001,000ffffe,399806
00000740,00000001,000ffffe,400023
000006fc,00000011,0008031e,400148
00000718,00000001,000ffffe,400187
000006e8,00000001,000ffffe,400215
000006c4,00000002,000ffffe,400502
00000784,00000002,000ffffe,400917
000007a4,00000011,00080485,401140
000007b4,00000002,000ffffe,401501
000007cc,00000001,000ffffe,401928
000007a4,00000011,00080485,402398
000006f0,00000002,000ffffe,402882
000006bc,00000001,000ffffe,403131
00000708,00000002,000ffffe,403497
000006e8,00000001,000ffffe,403679
00000720,00000002,000ffffe,403772
000006fc,00000011,00080325,404105
00000738,00000001,000ffffe,404488
00000718,00000001,000ffffe,404688
00000784,00000002,000ffffe,405061
00000790,00000011,00080322,405502
00000750,00000001,000ffffe,405939
00000790,00000011,00080325,406182
00000758,00000002,000ffffe,406281
000007a4,00000011,00080485,406593
00000784,00000002,000ffffe,406727
000007c0,00000007,00080447,406807
000007d4,00000001,000ffffe,406839
00000718,00000001,000ffffe,407098
000006e8,00000001,000ffffe,407228
000006c4,00000002,000ffffe,407566
000006bc,00000001,000ffffe,407734
000006bc,00000001,000ffffe,407819
00000710,00000011,00080403,407878
00000738,00000001,000ffffe,407884
00000708,00000002,000ffffe,408168
00000738,00000001,000ffffe,408309
000006bc,00000001,000ffffe,408652
000006cc,0000000a,00080486,408833
00000760,0000000a,00080440,409159
000007c0,00000007,00080442,409591
000007a4,00000011,00080486,409819
000007d4,00000001,000ffffe,410184
00000764,00000001,000ffffe,410375
000007cc,00000001,000ffffe,410471
000007b4,00000002,000ffffe,410792
00000718,00000001,000ffffe,411191
000006fc,00000011,00080331,411679
000006e8,00000001,000ffffe,412171
000006f0,00000002,000ffffe,412666
00000740,00000001,000ffffe,413152
00000760,0000000a,00080440,413405
00000794,00000001,000ffffe,413758
00000764,00000001,000ffffe,414179
000007ac,00000001,000ffffe,414390
000007cc,00000001,000ffffe,414496
00000758,00000002,000ffffe,414790
000007c0,00000007,00080446,414942
00000758,00000002,000ffffe,415011
0000077c,00000001,000ffffe,415319
00000730,00000001,000ffffe,415474
000006fc,00000011,00080338,415568
00000720,00000002,000ffffe,415864
00000738,00000001,000ffffe,416019
00000700,00000001,000ffffe,416369
0000072c,00000007,00080486,416822
0000073c,00000001,000ffffe,417040
00000708,00000002,000ffffe,417425
000007c0,00000007,00080441,417862
000007a4,00000011,00080486,418328
000007d4,00000001,000ffffe,418812
000007c4,00000001,000ffffe,419302
0000072c,00000007,00080486,419793
