0000037c,00000001,000ffffd,18
0000082c,00000244,00080467,2202417
000007ec,00000002,000ffffe,2202547
0000085c,00000001,000ffffe,2203024
000008a4,00000002,000ffffe,2203536
000007ec,00000002,000ffffe,2203792
000007c0,00000001,000ffffe,2204159
00000818,00000001,000ffffe,2204583
00000848,00000007,00080400,2205041
00000800,00000001,000ffffe,2205533
00000834,00000001,000ffffe,2206022
00000820,00000002,000ffffe,2206268
000007ac,00000001,000ffffe,2206390
00000798,00000002,000ffffe,2206453
000007ac,00000001,000ffffe,2206723
000007c0,00000001,000ffffe,2206859
00000820,00000002,000ffffe,2207200
000007d8,00000001,000ffffe,2207641
00000820,00000002,000ffffe,2208103
000007c0,00000001,000ffffe,2208333
000007d8,00000001,000ffffe,2208449
0000085c,00000001,000ffffe,2208747
00000858,00000001,000ffffe,2209136
000007c0,00000001,000ffffe,2209331
0000084c,00000001,000ffffe,2209429
000007ac,00000001,000ffffe,2209718
00000834,00000001,000ffffe,2209863
0000085c,00000001,000ffffe,2209936
00000858,00000001,000ffffe,2209973
00000858,00000001,000ffffe,2209992
00000800,00000001,000ffffe,2210002
000007ac,00000001,000ffffe,2210279
000007ec,00000002,000ffffe,2210419
000007ac,00000001,000ffffe,2210488
00000834,00000001,000ffffe,2210795
00000848,00000007,00080400,2210955
0000084c,00000001,000ffffe,2211473
00000800,00000001,000ffffe,2211561
0000082c,00000244,00080453,2211877
00000820,00000002,000ffffe,2211878
0000085c,00000001,000ffffe,2212275
00000848,00000007,00080400,2212752
00000834,00000001,000ffffe,2212982
00000818,00000001,000ffffe,2213340
000007ac,00000001,000ffffe,2213759
000007b4,00000002,000ffffe,2213970
000007fc,00000013,00080129,2214364
000007ec,00000002,000ffffe,2214536
0000084c,00000001,000ffffe,2214630
000007ec,00000002,000ffffe,2214679
000007d0,00000001,000ffffe,2214942
0000085c,00000001,000ffffe,2215346
000007fc,00000013,00080128,2215838
00000834,00000001,000ffffe,2216329
000007b4,00000002,000ffffe,2216585
0000084c,00000001,000ffffe,2216712
000007d8,00000001,000ffffe,2217016
00000858,00000001,000ffffe,2217408
000007ac,00000001,000ffffe,2217876
000007bc,0000000c,00080401,2218393
00000820,00000002,000ffffe,2218876
00000820,00000002,000ffffe,2219123
00000820,00000002,000ffffe,2219247
00000800,00000001,000ffffe,2219548
00000818,00000001,000ffffe,2219939
0000084c,00000001,000ffffe,2220135
00000848,00000007,00080401,2220511
000007bc,0000000c,00080401,2220941
000008e0,00000001,000ffffe,2221143
000008d8,00000001,000ffffe,2221250
00000894,00000001,000ffffe,2221304
00000854,00000001,000ffffe,2221571
00000858,00000001,000ffffe,2221705
000007d0,00000001,000ffffe,2222044
000007c0,00000001,000ffffe,2222214
00000848,00000007,00080400,2222545
000007ec,00000002,000ffffe,2222703
00000834,00000001,000ffffe,2222784
00000854,00000001,000ffffe,2223254
000007ac,00000001,000ffffe,2223333
000007bc,0000000c,00080400,2223384
0000084c,00000001,000ffffe,2223633
0000082c,00000244,00080442,2223676
00000800,00000001,000ffffe,2224035
0000084c,00000001,000ffffe,2224508
000007d8,00000001,000ffffe,2224745
000007ac,00000001,000ffffe,2224864
000007c0,00000001,000ffffe,2224924
000007fc,00000013,0008012b,2225212
000007d8,00000001,000ffffe,2225601
000007ac,00000001,000ffffe,2225805
000007c0,00000001,000ffffe,2226179
000007bc,0000000c,00080400,2226617
000007fc,00000013,0008012b,2226838
0000084c,00000001,000ffffe,2227199
0000084c,00000001,000ffffe,2227389
00000858,00000001,000ffffe,2227724
00000848,00000007,00080400,2227898
0000084c,00000001,000ffffe,2228216
000007bc,0000000c,00080400,2228661
00000834,00000001,000ffffe,2229107
0000083c,00000002,000ffffe,2229337
000007d0,00000001,000ffffe,2229451
000007d8,00000001,000ffffe,2229509
00000800,00000001,000ffffe,2229778
00000820,00000002,000ffffe,2229914
000007bc,0000000c,00080400,2229992
0000083c,00000002,000ffffe,2230288
00000854,00000001,000ffffe,2230680
000007d0,00000001,000ffffe,2230877
00000800,00000001,000ffffe,2230976
000007b4,00000002,000ffffe,2231027
00000818,00000001,000ffffe,2231291
00000818,00000001,000ffffe,2231424
000007ac,00000001,000ffffe,2231491
0000084c,00000001,000ffffe,2231525
0000084c,00000001,000ffffe,2231782
000007ac,00000001,000ffffe,2231976
00000848,00000007,00080401,2232015
00000834,00000001,000ffffe,2232026
00000820,00000002,000ffffe,2232044
00000834,00000001,000ffffe,2232045
000007bc,0000000c,00080401,2232046
000007fc,00000013,0008012b,2232058
000007ac,00000001,000ffffe,2232318
0000083c,00000002,000ffffe,2232456
0000082c,00000244,0008044e,2232490
000007ec,00000002,000ffffe,2232525
000007c0,00000001,000ffffe,2232559
000007bc,0000000c,00080401,2232588
00000858,00000001,000ffffe,2232858
0000084c,00000001,000ffffe,2232999
00000820,00000002,000ffffe,2233071
00000800,00000001,000ffffe,2233106
000007ac,00000001,000ffffe,2233364
000007c0,00000001,000ffffe,2233966
00000818,00000001,000ffffe,2234067
00000834,00000001,000ffffe,2234118
000007ac,00000001,000ffffe,2234144
0000082c,00000244,00080459,2234344
000007ac,00000001,000ffffe,2234429
00000820,00000002,000ffffe,2234573
000007ec,00000002,000ffffe,2234645
000007ac,00000001,000ffffe,2234952
000007d0,00000001,000ffffe,2235346
00000858,00000001,000ffffe,2235815
00000848,00000007,00080401,2236056
0000085c,00000001,000ffffe,2236168
000007c0,00000001,000ffffe,2236467
000007b4,00000002,000ffffe,2236618
000007ec,00000002,000ffffe,2236965
0000085c,00000001,000ffffe,2237138
000007c0,00000001,000ffffe,2237465
000007d8,00000001,000ffffe,2237629
000007d0,00000001,000ffffe,2237951
00000818,00000001,000ffffe,2238384
00000858,00000001,000ffffe,2238601
00000834,00000001,000ffffe,2238710
000008b0,00000001,000ffffe,2238765
000008e0,00000001,000ffffe,2238793
000008d4,00000019,0008012c,2239103
00000858,00000001,000ffffe,2239494
000007ec,00000002,000ffffe,2239703
000007bc,0000000c,00080400,2240089
000007bc,0000000c,00080400,2240517
00000818,00000001,000ffffe,2240960
000007d0,00000001,000ffffe,2241459
000007fc,00000013,0008012d,2241727
000007b4,00000002,000ffffe,2242075
0000083c,00000002,000ffffe,2242258
00000820,00000002,000ffffe,2242350
00000848,00000007,00080400,2242673
00000848,00000007,00080400,2243072
00000848,00000007,00080400,2243272
000007ec,00000002,000ffffe,2243639
000007d0,00000001,000ffffe,2244064
00000820,00000002,000ffffe,2244518
00000818,00000001,000ffffe,2244744
00000818,00000001,000ffffe,2244858
00000800,00000001,000ffffe,2245304
000007fc,00000013,0008012d,2245397
00000818,00000001,000ffffe,2245676
000007fc,00000127,0008012d,2245711
0000082c,00000244,00080459,2245734
000007ec,00000002,000ffffe,2245807
00000820,00000002,000ffffe,2246144
00000800,00000001,000ffffe,2246312
00000858,00000001,000ffffe,2246397
000007c0,00000001,000ffffe,2246440
000007ec,00000002,000ffffe,2246463
0000083c,00000002,000ffffe,2246746
000007c0,00000001,000ffffe,2246887
0000083c,00000002,000ffffe,2247231
00000848,00000007,00080400,2247408
00000858,00000001,000ffffe,2247728
000007d8,00000001,000ffffe,2248163
000007d0,00000001,000ffffe,2248381
000007d8,00000001,000ffffe,2248762
000007a0,00000006,00080401,2248958
00000854,00000001,000ffffe,2249049
0000083c,00000002,000ffffe,2249370
000007d0,00000001,000ffffe,2249769
00000820,00000002,000ffffe,2250242
00000848,00000007,00080401,2250755
00000848,00000007,00080401,2251249
00000854,00000001,000ffffe,2251730
000007c0,00000001,000ffffe,2251974
000007d0,00000001,000ffffe,2252336
00000854,00000001,000ffffe,2252757
0000085c,00000001,000ffffe,2252968
000007ac,00000001,000ffffe,2253074
00000800,00000001,000ffffe,2253367
000007c0,00000001,000ffffe,2253514
0000086c,00000001,000ffffe,2253588
0000084c,00000001,000ffffe,2253897
0000085c,00000001,000ffffe,2254052
000007b4,00000002,000ffffe,2254131
00000858,00000001,000ffffe,2254441
000007bc,0000000c,00080401,2254608
000007ac,00000001,000ffffe,2254947
000007ac,00000001,000ffffe,2255394
0000084c,00000001,000ffffe,2255618
00000818,00000001,000ffffe,2256002
000007d0,00000001,000ffffe,2256434
000007d0,00000001,000ffffe,2256890
00000820,00000002,000ffffe,2257391
0000084c,00000001,000ffffe,2257880
0000084c,00000001,000ffffe,2258365
000007b4,00000002,000ffffe,2258609
00000818,00000001,000ffffe,2258730
000007ec,00000002,000ffffe,2259032
00000798,00000002,000ffffe,2259183
00000848,00000007,00080400,2259264
000007b4,00000002,000ffffe,2259569
000007ec,00000002,000ffffe,2259964
00000848,00000007,00080400,2260167
00000848,00000007,00080400,2260538
00000820,00000002,000ffffe,2260719
00000820,00000002,000ffffe,2261052
000007ec,00000002,000ffffe,2261219
00000848,00000007,00080400,2261308
00000848,00000007,00080400,2261622
00000834,00000001,000ffffe,2262013
00000854,00000001,000ffffe,2262312
000007bc,0000000c,00080400,2262613
0000082c,00000244,0008044b,2262791
00000854,00000001,000ffffe,2262987
000007ac,00000001,000ffffe,2263180
000007c0,00000001,000ffffe,2263326
00000818,00000001,000ffffe,2263351
000007c0,00000001,000ffffe,2263364
00000820,00000002,000ffffe,2263372
00000848,00000007,00080400,2263381
000007c0,00000001,000ffffe,2263649
0000082c,00000244,00080442,2263856
000007c0,00000001,000ffffe,2264058
0000085c,00000001,000ffffe,2264263
000007fc,00000013,0008012f,2264384
0000082c,00000244,00080440,2264997
000007fc,00000013,0008012e,2265107
0000082c,00000244,0008045b,2265263
000007b4,00000002,000ffffe,2265293
00000800,00000001,000ffffe,2265394
000007d0,00000001,000ffffe,2265685
00000858,00000001,000ffffe,2265831
00000820,00000002,000ffffe,2266177
00000834,00000001,000ffffe,2266349
000007d0,00000001,000ffffe,2266436
00000820,00000002,000ffffe,2266481
0000084c,00000001,000ffffe,2266742
000007ac,00000001,000ffffe,2267145
000007bc,0000000c,00080401,2267358
00000848,00000007,00080401,2267726
000007b4,00000002,000ffffe,2267908
000007ac,00000001,000ffffe,2268001
0000084c,00000001,000ffffe,2268320
0000083c,00000002,000ffffe,2268481
000007d0,00000001,000ffffe,2268832
000007d8,00000001,000ffffe,2269280
000007c0,00000001,000ffffe,2269744
000007c0,00000001,000ffffe,2270248
000007b4,00000002,000ffffe,2270741
000007bc,0000000c,00080401,2271237
000007ac,00000001,000ffffe,2271709
000007d0,00000001,000ffffe,2271951
000007d0,00000001,000ffffe,2272312
00000848,00000007,00080401,2272499
000007ac,00000001,000ffffe,2272584
00000800,00000001,000ffffe,2272630
000007d8,00000001,000ffffe,2272893
000007d0,00000001,000ffffe,2273025
00000818,00000001,000ffffe,2273363
000007c0,00000001,000ffffe,2273804
0000084c,00000001,000ffffe,2274025
00000834,00000001,000ffffe,2274136
000008ac,0000000c,00080401,2274471
000007b4,00000002,000ffffe,2274867
0000082c,000003c9,00080472,2275160
00000820,00000002,000ffffe,2275342
000007b4,00000002,000ffffe,2275580
00000800,00000001,000ffffe,2275938
00000858,00000001,000ffffe,2276118
00000848,00000007,00080400,2276454
00000848,00000007,00080400,2276891
00000848,00000007,00080400,2277110
00000820,00000002,000ffffe,2277215
000007b4,00000002,000ffffe,2277510
000007ec,00000002,000ffffe,2277658
00000820,00000002,000ffffe,2278004
00000800,00000001,000ffffe,2278448
000007c0,00000001,000ffffe,2278671
00000820,00000002,000ffffe,2278784
000007bc,0000000c,00080400,2279090
000007ac,00000001,000ffffe,2279467
000007ac,00000001,000ffffe,2279933
000007b4,00000002,000ffffe,2280439
000007fc,00000013,00080130,2280709
000007b4,00000002,000ffffe,2280819
00000800,00000001,000ffffe,2280882
000007d0,00000001,000ffffe,2281154
0000083c,00000002,000ffffe,2281563
000007d0,00000001,000ffffe,2282038
00000820,00000002,000ffffe,2282549
000007b4,00000002,000ffffe,2283044
000007bc,0000000c,00080400,2283302
00000848,00000007,00080400,2283661
00000800,00000001,000ffffe,2284077
00000834,00000001,000ffffe,2284528
00000820,00000002,000ffffe,2284755
00000858,00000001,000ffffe,2285284
0000085c,00000001,000ffffe,2285418
000007c0,00000001,000ffffe,2285441
0000084c,00000001,000ffffe,2285453
0000082c,00000244,00080443,2285686
00000858,00000001,000ffffe,2285731
0000082c,00000244,0008045d,2285952
00000820,00000002,000ffffe,2286143
00000854,00000001,000ffffe,2286348
0000085c,00000001,000ffffe,2286911
00000820,00000002,000ffffe,2287246
0000082c,00000244,00080470,2287302
000007bc,0000000c,00080401,2287695
0000083c,00000002,000ffffe,2287905
000007d8,00000001,000ffffe,2288286
00000800,00000001,000ffffe,2288717
0000084c,00000001,000ffffe,2288933
000007d8,00000001,000ffffe,2289313
000007fc,00000013,00080130,2289761
000007ec,00000002,000ffffe,2290199
0000084c,00000001,000ffffe,2290426
00000800,00000001,000ffffe,2290780
00000854,00000001,000ffffe,2291197
00000854,00000001,000ffffe,2291406
00000854,00000001,000ffffe,2291511
00000834,00000001,000ffffe,2291564
000007b4,00000002,000ffffe,2291592
0000084c,00000001,000ffffe,2291605
00000818,00000001,000ffffe,2291884
00000854,00000001,000ffffe,2292024
000008d8,00000001,000ffffe,2292366
000007c0,00000001,000ffffe,2292809
000007ec,00000002,000ffffe,2293032
00000818,00000001,000ffffe,2293414
000007b4,00000002,000ffffe,2293607
00000848,00000007,00080400,2293948
000007fc,00000013,00080132,2294400
000007b4,00000002,000ffffe,2294843
0000085c,00000001,000ffffe,2295344
0000084c,00000001,000ffffe,2295835
000007d0,00000001,000ffffe,2296081
000007ec,00000002,000ffffe,2296445
000007fc,00000013,00080132,2296644
0000084c,00000001,000ffffe,2296957
000007ac,00000001,000ffffe,2297123
000007ac,00000001,000ffffe,2297446
00000820,00000002,000ffffe,2297609
00000858,00000001,000ffffe,2297929
000007fc,00000013,00080133,2298108
00000834,00000001,000ffffe,2298171
000007d8,00000001,000ffffe,2298212
0000085c,00000001,000ffffe,2298244
000007d8,00000001,000ffffe,2298250
00000848,00000007,00080400,2298531
000007ac,00000001,000ffffe,2298663
000007fc,00000231,00080131,2298793
00000800,00000001,000ffffe,2299004
00000800,00000001,000ffffe,2299175
0000085c,00000001,000ffffe,2299261
000007ac,00000001,000ffffe,2299576
000007ec,00000002,000ffffe,2299735
000007d8,00000001,000ffffe,2300085
00000820,00000002,000ffffe,2300262
000007d8,00000001,000ffffe,2300589
000007d0,00000001,000ffffe,2301025
0000084c,00000001,000ffffe,2301483
00000834,00000001,000ffffe,2301984
00000854,00000001,000ffffe,2302235
0000085c,00000001,000ffffe,2302361
00000858,00000001,000ffffe,2302664
00000858,00000001,000ffffe,2302816
0000083c,00000002,000ffffe,2303165
00000834,00000001,000ffffe,2303610
00000818,00000001,000ffffe,2304073
0000083c,00000002,000ffffe,2304306
00000858,00000001,000ffffe,2304661
00000858,00000001,000ffffe,2305079
000007ac,00000001,000ffffe,2305528
000007ec,00000002,000ffffe,2305754
000007d8,00000001,000ffffe,2305866
000007d8,00000001,000ffffe,2305923
0000084c,00000001,000ffffe,2305952
000007ac,00000001,000ffffe,2305975
00000820,00000002,000ffffe,2306252
0000082c,00000244,00080456,2306546
000007c0,00000001,000ffffe,2307138
0000082c,00000244,00080461,2307240
00000848,00000007,00080401,2307383
00000820,00000002,000ffffe,2307498
000007ec,00000002,000ffffe,2307798
000007ec,00000002,000ffffe,2308188
000007fc,00000013,00080131,2308672
0000083c,00000002,000ffffe,2308889
0000085c,00000001,000ffffe,2309245
000007fc,00000013,00080132,2309442
000007bc,0000000c,00080401,2309525
000008a4,00000002,000ffffe,2309832
000008c4,00000002,000ffffe,2309991
00000894,00000001,000ffffe,2310070
0000084c,00000001,000ffffe,2310382
000007bc,0000000c,00080400,2310789
00000854,00000001,000ffffe,2311248
000007ac,00000001,000ffffe,2311755
00000854,00000001,000ffffe,2312009
000007c0,00000001,000ffffe,2312376
000007ec,00000002,000ffffe,2312561
0000084c,00000001,000ffffe,2312892
000007ec,00000002,000ffffe,2313331
0000085c,00000001,000ffffe,2313789
000007b4,00000002,000ffffe,2314020
000007d0,00000001,000ffffe,2314374
000007b4,00000002,000ffffe,2315047
00000800,00000001,000ffffe,2315129
0000082c,00000244,0008045e,2315131
00000834,00000001,000ffffe,2315171
000007fc,0000020b,00080133,2315403
00000854,00000001,000ffffe,2315432
00000848,00000007,00080400,2315569
000007d0,00000001,000ffffe,2315629
000007d8,00000001,000ffffe,2315934
0000084c,00000001,000ffffe,2316087
00000854,00000001,000ffffe,2316164
00000858,00000001,000ffffe,2316203
0000085c,00000001,000ffffe,2316223
0000084c,00000001,000ffffe,2316505
000007ac,00000001,000ffffe,2316918
00000858,00000001,000ffffe,2317125
00000854,00000001,000ffffe,2317229
000007d0,00000001,000ffffe,2317521
000007ac,00000001,000ffffe,2317907
0000085c,00000001,000ffffe,2318372
000007d0,00000001,000ffffe,2318605
000007fc,00000013,00080135,2318740
00000818,00000001,000ffffe,2318781
000007b4,00000002,000ffffe,2318812
00000834,00000001,000ffffe,2319098
000007d0,00000001,000ffffe,2319242
0000084c,00000001,000ffffe,2319586
00000874,00000001,000ffffe,2320030
0000085c,00000001,000ffffe,2320492
00000858,00000001,000ffffe,2320995
00000834,00000001,000ffffe,2321247
00000858,00000001,000ffffe,2321613
00000834,00000001,000ffffe,2322036
0000084c,00000001,000ffffe,2322248
000007c0,00000001,000ffffe,2322626
000007d0,00000001,000ffffe,2323055
00000820,00000002,000ffffe,2323271
000007d0,00000001,000ffffe,2323378
000007c0,00000001,000ffffe,2323672
00000820,00000002,000ffffe,2324060
000007d0,00000001,000ffffe,2324253
00000834,00000001,000ffffe,2324622
00000854,00000001,000ffffe,2324807
00000848,00000007,00080401,2324906
000007d0,00000001,000ffffe,2324947
00000818,00000001,000ffffe,2324971
00000858,00000001,000ffffe,2325255
0000083c,00000002,000ffffe,2325670
000007fc,00000013,00080134,2326166
000007ac,00000001,000ffffe,2326388
00000800,00000001,000ffffe,2326748
000007ac,00000001,000ffffe,2327168
000008d8,00000001,000ffffe,2327618
00000854,00000001,000ffffe,2328115
0000085c,00000001,000ffffe,2328364
00000820,00000002,000ffffe,2328490
000007ec,00000002,000ffffe,2328553
000007ac,00000001,000ffffe,2328584
000007c0,00000001,000ffffe,2328872
00000820,00000002,000ffffe,2329289
000007d8,00000001,000ffffe,2329768
0000083c,00000002,000ffffe,2330281
0000084c,00000001,000ffffe,2330776
0000085c,00000001,000ffffe,2331264
00000858,00000001,000ffffe,2331748
00000848,00000007,00080400,2332236
00000820,00000002,000ffffe,2332712
000007d0,00000001,000ffffe,2332952
0000084c,00000001,000ffffe,2333134
00000858,00000001,000ffffe,2333165
00000848,00000007,00080400,2333187
00000818,00000001,000ffffe,2333461
0000082c,00000244,0008046f,2333652
00000834,00000001,000ffffe,2333873
000007d8,00000001,000ffffe,2334351
000007c0,00000001,000ffffe,2334862
000007bc,0000000c,00080400,2335129
0000085c,00000001,000ffffe,2335486
000007d8,00000001,000ffffe,2335910
00000820,00000002,000ffffe,2336363
000007d0,00000001,000ffffe,2336860
00000800,00000001,000ffffe,2337349
000007ec,00000002,000ffffe,2337595
0000084c,00000001,000ffffe,2337717
000007b4,00000002,000ffffe,2337780
0000084c,00000001,000ffffe,2338050
0000085c,00000001,000ffffe,2338186
000007ec,00000002,000ffffe,2338527
000007b4,00000002,000ffffe,2338969
000007ec,00000002,000ffffe,2339430
0000085c,00000001,000ffffe,2339660
000007b4,00000002,000ffffe,2339777
00000848,00000007,00080401,2340080
0000083c,00000002,000ffffe,2340464
0000085c,00000001,000ffffe,2340658
0000084c,00000001,000ffffe,2341045
00000800,00000001,000ffffe,2341190
000007d8,00000001,000ffffe,2341263
0000083c,00000002,000ffffe,2341301
0000083c,00000002,000ffffe,2341320
000007d0,00000001,000ffffe,2341329
0000082c,00000244,00080445,2341335
0000084c,00000001,000ffffe,2341606
000007bc,0000000c,00080401,2341756
0000084c,00000001,000ffffe,2341815
00000800,00000001,000ffffe,2342122
00000820,00000002,000ffffe,2342277
000007fc,00000013,00080136,2342643
000007d0,00000001,000ffffe,2342888
000007ec,00000002,000ffffe,2343205
0000082c,00000244,00080463,2343379
00000798,00000002,000ffffe,2343603
00000820,00000002,000ffffe,2344074
00000800,00000001,000ffffe,2344309
000007d8,00000001,000ffffe,2344667
0000084c,00000001,000ffffe,2345086
00000854,00000001,000ffffe,2345296
000008b0,00000001,000ffffe,2345673
00000834,00000001,000ffffe,2345862
00000834,00000001,000ffffe,2345957
000007c0,00000001,000ffffe,2346005
000007b4,00000002,000ffffe,2346270
0000084c,00000001,000ffffe,2346673
000007d0,00000001,000ffffe,2347147
00000818,00000001,000ffffe,2347656
00000858,00000001,000ffffe,2347911
000007bc,0000000c,00080400,2348050
000007bc,0000000c,00080400,2348354
000007d0,00000001,000ffffe,2348735
000007ec,00000002,000ffffe,2349204
0000085c,00000001,000ffffe,2349709
000007fc,00000013,00080138,2350220
00000854,00000001,000ffffe,2350449
000007fc,00000013,00080138,2350591
000007d8,00000001,000ffffe,2350875
000007ec,00000002,000ffffe,2351267
00000834,00000001,000ffffe,2351462
00000800,00000001,000ffffe,2352257
0000082c,00000244,0008045e,2352411
00000834,00000001,000ffffe,2352470
000007d8,00000001,000ffffe,2352577
000007bc,0000000c,00080400,2352642
00000834,00000001,000ffffe,2352898
0000083c,00000002,000ffffe,2353033
000007ac,00000001,000ffffe,2353371
0000085c,00000001,000ffffe,2353541
00000820,00000002,000ffffe,2353867
000007bc,0000000c,00080400,2354040
00000800,00000001,000ffffe,2354111
000007fc,00000013,00080137,2354442
00000834,00000001,000ffffe,2354581
0000084c,00000001,000ffffe,2354660
00000858,00000001,000ffffe,2354700
000007d0,00000001,000ffffe,2355362
0000082c,00000244,00080475,2355539
000007b4,00000002,000ffffe,2356073
0000084c,00000001,000ffffe,2356191
0000085c,00000001,000ffffe,2356251
0000082c,00000244,00080459,2356414
000007c0,00000001,000ffffe,2356521
000007b4,00000002,000ffffe,2356929
0000084c,00000001,000ffffe,2357132
0000085c,00000001,000ffffe,2357506
00000858,00000001,000ffffe,2357933
000007c0,00000001,000ffffe,2358147
00000790,00000001,000ffffe,2359051
0000082c,00000244,00080445,2359105
00000820,00000002,000ffffe,2359220
0000082c,00000244,00080457,2359295
00000858,00000001,000ffffe,2359977
0000082c,00000244,00080470,2360122
00000800,00000001,000ffffe,2360434
00000818,00000001,000ffffe,2360663
00000820,00000002,000ffffe,2360779
000007b4,00000002,000ffffe,2360837
000007d0,00000001,000ffffe,2361105
000007ec,00000002,000ffffe,2361241
00000858,00000001,000ffffe,2361308
00000818,00000001,000ffffe,2361614
00000834,00000001,000ffffe,2362007
000007ac,00000001,000ffffe,2362204
000007d0,00000001,000ffffe,2362303
00000854,00000001,000ffffe,2362353
000007d8,00000001,000ffffe,2362618
000007d8,00000001,000ffffe,2362751
0000084c,00000001,000ffffe,2362818
00000870,00000001,000ffffe,2363109
000008ac,0000000c,00080400,2363249
000008e0,00000001,000ffffe,2363303
000008c4,00000002,000ffffe,2363337
000008e8,00000001,000ffffe,2363353
000008d8,00000001,000ffffe,2363362
0000088c,00000001,000ffffe,2363367
000008c4,00000002,000ffffe,2363373
000008ac,0000000c,00080401,2363381
000007ec,00000002,000ffffe,2363646
00000820,00000002,000ffffe,2363783
0000082c,000003c9,0008045f,2363820
000007c0,00000001,000ffffe,2363851
000007ac,00000001,000ffffe,2363886
0000085c,00000001,000ffffe,2363904
000007d0,00000001,000ffffe,2364185
00000834,00000001,000ffffe,2364326
000007fc,00000013,0008013a,2364415
000007d8,00000001,000ffffe,2364433
000007ec,00000002,000ffffe,2364692
00000800,00000001,000ffffe,2365092
00000818,00000001,000ffffe,2365293
0000084c,00000001,000ffffe,2365394
00000818,00000001,000ffffe,2365445
00000854,00000001,000ffffe,2365471
00000854,00000001,000ffffe,2365756
00000854,00000001,000ffffe,2365899
00000834,00000001,000ffffe,2365971
00000854,00000001,000ffffe,2366279
000007b4,00000002,000ffffe,2366674
000007d0,00000001,000ffffe,2367142
0000084c,00000001,000ffffe,2367495
000007ac,00000001,000ffffe,2367794
00000858,00000001,000ffffe,2367944
0000082c,00000244,00080467,2367956
00000834,00000001,000ffffe,2368291
0000084c,00000001,000ffffe,2368465
00000818,00000001,000ffffe,2368792
000007bc,0000000c,00080400,2368967
0000086c,00000001,000ffffe,2369278
000007ec,00000002,000ffffe,2369712
000007d0,00000001,000ffffe,2369928
0000085c,00000001,000ffffe,2370037
00000854,00000001,000ffffe,2370092
000007ec,00000002,000ffffe,2370121
000007fc,00000013,0008013b,2370424
0000083c,00000002,000ffffe,2370822
000007bc,0000000c,00080400,2371040
00000858,00000001,000ffffe,2371405
00000858,00000001,000ffffe,2371833
000007d8,00000001,000ffffe,2372287
000007ac,00000001,000ffffe,2372786
000007c0,00000001,000ffffe,2373036
00000854,00000001,000ffffe,2373401
00000818,00000001,000ffffe,2373584
000007ec,00000002,000ffffe,2373677
00000820,00000002,000ffffe,2373995
00000820,00000002,000ffffe,2374394
00000820,00000002,000ffffe,2374594
000007bc,0000000c,00080401,2374976
000007ac,00000001,000ffffe,2375391
000007ec,00000002,000ffffe,2375845
000007d8,00000001,000ffffe,2376071
000007d8,00000001,000ffffe,2376185
000007fc,00000013,0008013a,2376500
000007d0,00000001,000ffffe,2376631
000007c0,00000001,000ffffe,2376706
000007c0,00000001,000ffffe,2376744
000007d8,00000001,000ffffe,2377003
000007bc,0000000c,00080401,2377144
000007ec,00000002,000ffffe,2377471
000007d0,00000001,000ffffe,2377639
0000083c,00000002,000ffffe,2377725
0000085c,00000001,000ffffe,2377767
000007bc,0000000c,00080401,2377800
00000818,00000001,000ffffe,2378072
0000085c,00000001,000ffffe,2378214
00000864,00000001,000ffffe,2378557
00000820,00000002,000ffffe,2378730
0000083c,00000002,000ffffe,2379056
000007b4,00000002,000ffffe,2379491
00000820,00000002,000ffffe,2379709
000007b4,00000002,000ffffe,2380090
000007bc,0000000c,00080401,2380291
00000834,00000001,000ffffe,2380376
00000818,00000001,000ffffe,2380696
000008d8,00000001,000ffffe,2381096
000007fc,00000013,0008013c,2381586
000007b4,00000002,000ffffe,2382571
0000082c,00000244,00080456,2382655
000007c0,00000001,000ffffe,2383057
000007ac,00000001,000ffffe,2383301
00000820,00000002,000ffffe,2383664
0000083c,00000002,000ffffe,2384085
000007d8,00000001,000ffffe,2384295
00000854,00000001,000ffffe,2384401
000007d8,00000001,000ffffe,2384694
00000818,00000001,000ffffe,2384841
000007fc,00000013,0008013b,2384933
00000834,00000001,000ffffe,2385224
000007d8,00000001,000ffffe,2385379
000007fc,00000013,0008013b,2385475
00000848,00000007,00080400,2385774
00000800,00000001,000ffffe,2385924
00000854,00000001,000ffffe,2386274
00000854,00000001,000ffffe,2386721
00000834,00000001,000ffffe,2386945
000007ec,00000002,000ffffe,2387330
00000820,00000002,000ffffe,2387762
000007ac,00000001,000ffffe,2388217
000007ec,00000002,000ffffe,2388718
0000082c,00000244,00080468,2389786
000007d8,00000001,000ffffe,2390057
0000082c,00000244,0008045e,2390271
000007bc,0000000c,00080400,2390369
000007fc,00000231,0008013d,2390495
000007b4,00000002,000ffffe,2390510
00000820,00000002,000ffffe,2390586
00000854,00000001,000ffffe,2390895
000007bc,0000000c,00080401,2391301
00000820,00000002,000ffffe,2391489
00000820,00000002,000ffffe,2391860
000007ec,00000002,000ffffe,2392046
000007ec,00000002,000ffffe,2392379
000007bc,0000000c,00080401,2392556
00000820,00000002,000ffffe,2392630
00000820,00000002,000ffffe,2392944
00000800,00000001,000ffffe,2393340
000007fc,00000013,0008013b,2393557
00000834,00000001,000ffffe,2393639
00000858,00000001,000ffffe,2393929
00000834,00000001,000ffffe,2394314
0000084c,00000001,000ffffe,2394507
000007fc,00000013,0008013b,2394622
0000085c,00000001,000ffffe,2394653
000007d8,00000001,000ffffe,2394678
